户型,总价格,名字,小区,建造年代,楼层,面积,首付
        3室2厅2卫，,        65万,厚街赤岭,三屯富怡花园,2012年,普通住宅中层(共30层)					,90平方米,19.50万                    
        3室2厅2卫，,        186万,厚街赤岭,汇景华府,2011年,普通住宅中层(共25层)					,111平方米,55.80万                    
        3室2厅2卫，,        170万,厚街赤岭,富怡名居,2010年,普通住宅低层(共13层)					,127平方米,51.00万                    
        2室1厅1卫，,        152万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共28层)					,80平方米,45.60万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共31层)					,79平方米,46.50万                    
        3室2厅2卫，,        210万,厚街赤岭,富怡名居,2009年,普通住宅高层(共18层)					,133平方米,63.00万                    
        3室2厅1卫，,        190万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,96平方米,57.00万                    
        2室2厅1卫，,        145万,厚街赤岭,万科金域国际,2014年,普通住宅低层(共32层)					,79平方米,43.50万                    
        2室2厅1卫，,        156万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共31层)					,79.2平方米,46.80万                    
        3室2厅2卫，,        196万,厚街赤岭,汇景华府,2011年,普通住宅高层(共21层)					,116平方米,58.80万                    
        3室2厅2卫，,        223万,厚街赤岭,汇景华府,2010年,普通住宅中层(共28层)					,133平方米,66.90万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,98平方米,57.00万                    
        3室1厅1卫，,        170万,厚街赤岭,汇景华府,2009年,普通住宅中层(共21层)					,99平方米,51.00万                    
        3室2厅1卫，,        76万,厚街赤岭,三屯富怡花园,2004年,普通住宅中层(共6层)					,82平方米,22.80万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,80平方米,46.50万                    
        3室2厅2卫，,        195万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,98平方米,58.50万                    
        3室2厅2卫，,        192万,厚街赤岭,富怡名居,2007年,普通住宅中层(共16层)					,134平方米,57.60万                    
        2室2厅2卫，,        118万,厚街赤岭,汇景银座,2008年,普通住宅中层(共18层)					,82平方米,35.40万                    
        3室2厅2卫，,        125万,厚街赤岭,三屯富怡花园,2004年,普通住宅低层(共9层)					,133平方米,37.50万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2014年,普通住宅低层(共32层)					,98平方米,55.50万                    
        3室2厅2卫，,        152万,厚街赤岭,汇景银座,2013年,普通住宅中层(共28层)					,103平方米,45.60万                    
        4室3厅3卫，,        270万,厚街赤岭,汇景华府,2008年,普通住宅中层(共31层)					,175平方米,81.00万                    
        2室2厅1卫，,        152万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共28层)					,80平方米,45.60万                    
        3室2厅2卫，,        210万,厚街赤岭,汇景华府,2006年,普通住宅高层(共22层)					,133平方米,63.00万                    
        2室2厅2卫，,        118万,厚街赤岭,汇景银座,2008年,普通住宅中层(共18层)					,82平方米,35.40万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,80平方米,46.50万                    
        4室2厅3卫，,        360万,厚街赤岭,汇景华府,2010年,普通住宅高层(共31层)					,228平方米,108.00万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共26层)					,80平方米,46.50万                    
        3室2厅1卫，,        180万,厚街赤岭,汇景华府,2006年,普通住宅低层(共28层)					,115平方米,54.00万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,80平方米,46.50万                    
        3室2厅1卫，,        190万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,96平方米,57.00万                    
        4室2厅3卫，,        358万,厚街赤岭,汇景华府,2010年,普通住宅高层(共31层)					,227平方米,107.40万                    
        2室2厅1卫，,        148万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,80平方米,44.40万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,98平方米,57.00万                    
        2室2厅1卫，,        128万,厚街赤岭,富怡名居,2008年,普通住宅高层(共13层)					,90平方米,38.40万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2015年,普通住宅中层(共32层)					,96平方米,55.50万                    
        3室2厅2卫，,        172万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共27层)					,98平方米,51.60万                    
        3室2厅1卫，,        200万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,96平方米,60.00万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共32层)					,98平方米,54.00万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共27层)					,80平方米,45.00万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,80平方米,46.50万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,98平方米,55.50万                    
        3室2厅1卫，,        182万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共25层)					,96平方米,54.60万                    
        3室2厅1卫，,        158万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共24层)					,96平方米,47.40万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共27层)					,80平方米,45.00万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2015年,普通住宅中层(共32层)					,79平方米,46.50万                    
        3室2厅2卫，,        186万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,96平方米,55.80万                    
        3室2厅2卫，,        198万,厚街赤岭,富怡名居,2007年,普通住宅中层(共18层)					,127平方米,59.40万                    
        2室2厅1卫，,        127万,厚街赤岭,富怡名居,2010年,普通住宅高层(共13层)					,90平方米,38.10万                    
        2室2厅2卫，,        205万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,98平方米,61.50万                    
        3室2厅2卫，,        200万,厚街赤岭,汇景华府,2008年,普通住宅中层(共26层)					,139平方米,60.00万                    
        3室2厅1卫，,        180万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共28层)					,96平方米,54.00万                    
        2室1厅1卫，,        125万,厚街赤岭,富怡名居,2010年,普通住宅中层(共11层)					,91平方米,37.50万                    
        2室2厅1卫，,        121万,厚街赤岭,汇景银座,2008年,普通住宅低层(共18层)					,89平方米,36.30万                    
        3室2厅2卫，,        195万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,58.50万                    
        2室2厅1卫，,        147万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共31层)					,80平方米,44.10万                    
        3室2厅1卫，,        175万,厚街赤岭,万科金域国际,2011年,普通住宅中层(共32层)					,96平方米,52.50万                    
        2室2厅1卫，,        130万,厚街赤岭,汇景华府,2011年,普通住宅高层(共18层)					,78平方米,39.00万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共31层)					,80平方米,46.50万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,57.00万                    
        2室2厅1卫，,        157万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,80平方米,47.10万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,98平方米,55.50万                    
        2室2厅1卫，,        159万,厚街赤岭,万科金域国际(商住楼),2011年,普通住宅中层(共30层)					,80平方米,47.70万                    
        2室2厅1卫，,        135万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,80平方米,40.50万                    
        2室2厅1卫，,        160万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,80平方米,48.00万                    
        3室2厅1卫，,        182万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,96平方米,54.60万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2012年,普通住宅低层(共32层)					,98平方米,57.00万                    
        2室2厅1卫，,        157万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,79.5平方米,47.10万                    
        2室2厅1卫，,        130万,厚街赤岭,汇景华府,2011年,普通住宅高层(共18层)					,78平方米,39.00万                    
        3室2厅2卫，,        200万,厚街赤岭,汇景华府,2011年,普通住宅中层(共28层)					,107平方米,60.00万                    
        3室2厅2卫，,        175万,厚街赤岭,汇景华府,2009年,普通住宅低层(共21层)					,120平方米,52.50万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共32层)					,98平方米,54.00万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共27层)					,80平方米,45.00万                    
        2室2厅1卫，,        152万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共31层)					,80平方米,45.60万                    
        2室1厅1卫，,        123万,厚街赤岭,汇景银座,2006年,普通住宅中层(共18层)					,89平方米,36.90万                    
        2室1厅1卫，,        130万,厚街赤岭,汇景银座,2011年,普通住宅中层(共21层)					,78平方米,39.00万                    
        3室2厅1卫，,        208万,厚街赤岭,汇景华府,2010年,普通住宅高层(共26层)					,135平方米,62.40万                    
        3室2厅2卫，,        80万,厚街赤岭,三屯富怡花园,2010年,普通住宅中层(共26层)					,98平方米,24.00万                    
        3室2厅1卫，,        200万,厚街赤岭,万科金域国际,2010年,普通住宅中层(共32层)					,98平方米,60.00万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,99平方米,54.00万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,96平方米,55.50万                    
        2室2厅1卫，,        152万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共31层)					,79平方米,45.60万                    
        3室2厅2卫，,        195万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共31层)					,98平方米,58.50万                    
        2室2厅1卫，,        158万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,80平方米,47.40万                    
        2室2厅1卫，,        120万,厚街赤岭,汇景华府,2008年,普通住宅中层(共18层)					,85平方米,36.00万                    
        3室2厅2卫，,        188万,厚街赤岭,汇景银座,2008年,普通住宅中层(共18层)					,133平方米,56.40万                    
        4室2厅2卫，,        249.8万,厚街赤岭,汇景华府,2008年,普通住宅低层(共32层)					,178平方米,74.94万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2012年,普通住宅低层(共32层)					,96平方米,55.50万                    
        3室2厅2卫，,        75万,厚街赤岭,三屯富怡花园,2012年,普通住宅低层(共30层)					,96平方米,22.50万                    
        2室2厅1卫，,        152万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共28层)					,80平方米,45.60万                    
        3室2厅2卫，,        178万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,98平方米,53.40万                    
        2室2厅1卫，,        153万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,80平方米,45.90万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共28层)					,98平方米,54.00万                    
        3室2厅2卫，,        220万,厚街赤岭,汇景华府,2004年,普通住宅高层(共32层)					,133平方米,66.00万                    
        2室2厅1卫，,        146万,厚街赤岭,万科金域国际,2014年,普通住宅低层(共32层)					,80平方米,43.80万                    
        3室2厅2卫，,        202万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,98平方米,60.60万                    
        3室2厅2卫，,        210万,厚街赤岭,汇景银座,2007年,普通住宅低层(共18层)					,131平方米,63.00万                    
        4室2厅2卫，,        300万,厚街赤岭,汇景华府,2011年,普通住宅低层(共30层)					,174平方米,90.00万                    
        3室2厅2卫，,        200万,厚街赤岭,汇景华府,2011年,普通住宅中层(共28层)					,115平方米,60.00万                    
        3室2厅1卫，,        183万,厚街赤岭,万科金域国际,2014年,普通住宅低层(共32层)					,96平方米,54.90万                    
        3室2厅2卫，,        183万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共31层)					,98平方米,54.90万                    
        3室2厅2卫，,        70万,厚街赤岭,三屯富怡花园,2010年,普通住宅中层(共21层)					,91平方米,21.00万                    
        3室2厅2卫，,        186万,厚街赤岭,汇景华府,2009年,普通住宅中层(共26层)					,126平方米,55.80万                    
        2室2厅1卫，,        138万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共28层)					,80平方米,41.40万                    
        3室2厅2卫，,        190万,厚街赤岭,汇景华府,2007年,普通住宅低层(共22层)					,111平方米,57.00万                    
        4室3厅3卫，,        320万,厚街赤岭,汇景华府,2008年,普通住宅高层(共31层)					,223平方米,96.00万                    
        3室2厅2卫，,        175万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共31层)					,98平方米,52.50万                    
        2室2厅1卫，,        153万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,83平方米,45.90万                    
        3室1厅2卫，,        185万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,98平方米,55.50万                    
        3室2厅2卫，,        195万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共30层)					,98平方米,58.50万                    
        3室2厅2卫，,        190万,厚街赤岭,富怡名居,2007年,普通住宅中层(共18层)					,140平方米,57.00万                    
        4室2厅2卫，,        195万,厚街赤岭,富怡名居,2007年,普通住宅中层(共9层)					,155平方米,58.50万                    
        3室2厅2卫，,        120万,厚街赤岭,三屯富怡花园,2010年,普通住宅低层(共30层)					,110平方米,36.00万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,98平方米,54.00万                    
        4室2厅2卫，,        190万,厚街赤岭,汇景华府,2008年,普通住宅中层(共27层)					,139平方米,57.00万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,96平方米,55.50万                    
        3室2厅1卫，,        190万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,96平方米,57.00万                    
        3室2厅2卫，,        175万,厚街赤岭,富怡名居,2011年,普通住宅低层(共13层)					,125平方米,52.50万                    
        3室2厅2卫，,        208万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,62.40万                    
        2室2厅1卫，,        130万,厚街赤岭,汇景华府,2011年,普通住宅高层(共18层)					,78平方米,39.00万                    
        2室2厅1卫，,        159万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共27层)					,80平方米,47.70万                    
        3室2厅2卫，,        198万,厚街赤岭,汇景华府,2006年,普通住宅低层(共32层)					,135平方米,59.40万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2010年,普通住宅低层(共32层)					,98平方米,55.50万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,96平方米,55.50万                    
        3室2厅2卫，,        170万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,92平方米,51.00万                    
        3室2厅1卫，,        230万,厚街赤岭,富怡名居,2007年,普通住宅低层(共16层)					,146平方米,69.00万                    
        3室2厅2卫，,        200万,厚街赤岭,富怡名居,2008年,普通住宅高层(共18层)					,140平方米,60.00万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,80平方米,45.00万                    
        3室2厅1卫，,        190万,厚街赤岭,万科金域国际,2014年,普通住宅低层(共32层)					,96平方米,57.00万                    
        2室2厅1卫，,        152万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,80平方米,45.60万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,80平方米,45.00万                    
        2室2厅1卫，,        160万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,80平方米,48.00万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,57.00万                    
        3室2厅3卫，,        180万,厚街赤岭,富怡名居,2010年,普通住宅低层(共13层)					,134平方米,54.00万                    
        4室2厅3卫，,        240万,厚街赤岭,汇景华府,2014年,普通住宅中层(共32层)					,176平方米,72.00万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共31层)					,96平方米,55.50万                    
        3室2厅1卫，,        175万,厚街赤岭,万科金域国际,2011年,普通住宅中层(共27层)					,96平方米,52.50万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,98平方米,55.50万                    
        3室2厅2卫，,        65万,厚街赤岭,三屯富怡花园,2012年,普通住宅中层(共17层)					,90平方米,19.50万                    
        3室2厅2卫，,        210万,厚街赤岭,汇景银座,2007年,普通住宅中层(共18层)					,133平方米,63.00万                    
        2室2厅1卫，,        158万,厚街赤岭,万科金域国际(商住楼),2014年,普通住宅中层(共32层)					,80平方米,47.40万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,98.8平方米,57.00万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,99平方米,54.00万                    
        2室2厅1卫，,        120万,厚街赤岭,汇景华府,2008年,普通住宅中层(共18层)					,85平方米,36.00万                    
        3室2厅2卫，,        175万,厚街赤岭,富怡名居,2011年,普通住宅低层(共13层)					,126平方米,52.50万                    
        3室2厅1卫，,        155万,厚街赤岭,万科金域国际,2015年,普通住宅中层(共32层)					,79平方米,46.50万                    
        2室2厅0卫，,        158万,厚街赤岭,万科金域国际,2010年,普通住宅高层(共28层)					,79.6平方米,47.40万                    
        2室2厅1卫，,        145万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,80平方米,43.50万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共31层)					,96平方米,55.50万                    
        3室2厅1卫，,        180万,厚街赤岭,万科金域国际,2014年,普通住宅低层(共32层)					,96平方米,54.00万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,55.50万                    
        4室3厅3卫，,        248万,厚街赤岭,汇景华府,2008年,普通住宅中层(共31层)					,175平方米,74.40万                    
        3室2厅2卫，,        191万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,98平方米,57.30万                    
        3室2厅2卫，,        182万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,54.60万                    
        2室2厅1卫，,        148万,厚街赤岭,万科金域国际(商住楼),2012年,普通住宅中层(共32层)					,80平方米,44.40万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,55.50万                    
        2室2厅1卫，,        140万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共27层)					,80平方米,42.00万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,57.00万                    
        3室0厅2卫，,        198万,厚街赤岭,汇景华府,2011年,普通住宅高层(共22层)					,127平方米,59.40万                    
        3室0厅2卫，,        198万,厚街赤岭,汇景华府,2011年,普通住宅高层(共22层)					,127平方米,59.40万                    
        3室2厅2卫，,        188万,厚街赤岭,汇景华府,2011年,普通住宅低层(共22层)					,120平方米,56.40万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共27层)					,80平方米,45.00万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,98平方米,55.50万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2012年,普通住宅低层(共32层)					,98平方米,57.00万                    
        3室2厅2卫，,        194万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,98平方米,58.20万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,98平方米,57.00万                    
        2室2厅1卫，,        160万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,80平方米,48.00万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,80平方米,46.50万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共32层)					,98平方米,54.00万                    
        4室2厅3卫，,        160万,厚街赤岭,三屯富怡花园,2005年,普通住宅高层(共11层)					,156平方米,48.00万                    
        3室2厅2卫，,        83万,厚街赤岭,三屯富怡花园,2014年,普通住宅中层(共30层)					,89平方米,24.90万                    
        3室2厅2卫，,        168万,厚街赤岭,汇景华府,2006年,普通住宅中层(共26层)					,125平方米,50.40万                    
        2室2厅1卫，,        130万,厚街赤岭,汇景银座,2009年,普通住宅低层(共18层)					,90平方米,39.00万                    
        3室2厅2卫，,        180万,厚街赤岭,汇景华府,2002年,普通住宅低层(共22层)					,107平方米,54.00万                    
        3室2厅2卫，,        188万,厚街赤岭,汇景华府,2006年,普通住宅中层(共27层)					,125平方米,56.40万                    
        3室2厅2卫，,        183万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共31层)					,98平方米,54.90万                    
        3室2厅2卫，,        165万,厚街赤岭,汇景华府,2010年,普通住宅高层(共23层)					,103平方米,49.50万                    
        2室2厅2卫，,        148.8万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,80平方米,44.64万                    
        3室2厅2卫，,        152万,厚街赤岭,汇景银座,2013年,普通住宅中层(共28层)					,103平方米,45.60万                    
        3室2厅2卫，,        185万,厚街赤岭,汇景华府,2011年,普通住宅中层(共17层)					,110平方米,55.50万                    
        3室2厅1卫，,        200万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,98平方米,60.00万                    
        3室2厅2卫，,        155万,厚街赤岭,三屯富怡花园,2004年,普通住宅低层(共9层)					,135平方米,46.50万                    
        3室2厅2卫，,        170万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,98平方米,51.00万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,80平方米,45.00万                    
        2室2厅0卫，,        150万,厚街赤岭,万科金域国际,2010年,普通住宅低层(共32层)					,79.4平方米,45.00万                    
        2室1厅2卫，,        79万,厚街赤岭,三屯富怡花园,2010年,普通住宅中层(共7层)					,81平方米,23.70万                    
        2室2厅2卫，,        155万,厚街赤岭,万科金域国际(商住楼),2012年,普通住宅中层(共33层)					,80平方米,46.50万                    
        3室2厅2卫，,        180万,厚街赤岭,富怡名居,2005年,普通住宅中层(共18层)					,135平方米,54.00万                    
        3室2厅1卫，,        76万,厚街赤岭,三屯富怡花园,2004年,普通住宅中层(共6层)					,82平方米,22.80万                    
        5室2厅2卫，,        245万,厚街赤岭,汇景华府,2006年,普通住宅中层(共26层)					,178平方米,73.50万                    
        3室2厅2卫，,        185万,厚街赤岭,汇景华府,2010年,普通住宅低层(共22层)					,120平方米,55.50万                    
        2室2厅2卫，,        120万,厚街赤岭,富怡名居,2012年,普通住宅中层(共17层)					,90平方米,36.00万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2015年,普通住宅中层(共32层)					,79平方米,46.50万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2012年,普通住宅低层(共32层)					,96平方米,55.50万                    
        5室2厅2卫，,        360万,厚街赤岭,汇景华府,2006年,普通住宅高层(共32层)					,228平方米,108.00万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共32层)					,98平方米,55.50万                    
        2室2厅1卫，,        158万,厚街赤岭,万科金域国际(商住楼),2012年,普通住宅高层(共32层)					,80平方米,47.40万                    
        3室2厅2卫，,        62万,厚街赤岭,三屯富怡花园,2001年,普通住宅中层(共22层)					,78平方米,18.60万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共28层)					,98平方米,54.00万                    
        3室2厅2卫，,        170万,厚街赤岭,富怡名居,2010年,普通住宅低层(共13层)					,127平方米,51.00万                    
        3室0厅2卫，,        198万,厚街赤岭,汇景华府,2011年,普通住宅高层(共22层)					,127平方米,59.40万                    
        4室2厅3卫，,        335万,厚街赤岭,汇景华府,2010年,普通住宅低层(共31层)					,223平方米,100.50万                    
        2室1厅1卫，,        130万,厚街赤岭,富怡名居,2009年,普通住宅高层(共11层)					,90平方米,39.00万                    
        2室2厅1卫，,        156万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,80平方米,46.80万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,80平方米,45.00万                    
        3室2厅2卫，,        195万,厚街赤岭,万科金域国际,2012年,普通住宅高层(共32层)					,98平方米,58.50万                    
        3室2厅2卫，,        190万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,98平方米,57.00万                    
        2室2厅1卫，,        157万,厚街赤岭,万科金域国际,2014年,普通住宅中层(共32层)					,80平方米,47.10万                    
        2室2厅1卫，,        140万,厚街赤岭,万科金域国际,2011年,普通住宅低层(共30层)					,80平方米,42.00万                    
        3室1厅1卫，,        185万,厚街赤岭,万科金域国际,2014年,普通住宅高层(共32层)					,96平方米,55.50万                    
        2室2厅1卫，,        143万,厚街赤岭,万科金域国际,2011年,普通住宅中层(共32层)					,80平方米,42.90万                    
        3室2厅2卫，,        185万,厚街赤岭,万科金域国际,2015年,普通住宅中层(共32层)					,96平方米,55.50万                    
        2室2厅1卫，,        155万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共28层)					,80平方米,46.50万                    
        2室2厅1卫，,        135万,厚街赤岭,汇景银座,2006年,普通住宅高层(共18层)					,88平方米,40.50万                    
        3室2厅2卫，,        168万,厚街赤岭,万科金域国际,2015年,普通住宅中层(共26层)					,98平方米,50.40万                    
        3室2厅2卫，,        194万,厚街赤岭,万科金域国际,2013年,普通住宅高层(共32层)					,98平方米,58.20万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2012年,普通住宅低层(共32层)					,96平方米,55.50万                    
        3室2厅2卫，,        180万,厚街赤岭,万科金域国际,2013年,普通住宅中层(共32层)					,98平方米,54.00万                    
        2室1厅1卫，,        125万,厚街赤岭,富怡名居,2010年,普通住宅中层(共11层)					,91平方米,37.50万                    
        3室2厅2卫，,        223万,厚街赤岭,汇景华府,2010年,普通住宅中层(共28层)					,133平方米,66.90万                    
        3室2厅1卫，,        56万,厚街赤岭,三屯富怡花园,2012年,普通住宅中层(共15层)					,79平方米,16.80万                    
        3室2厅2卫，,        210万,厚街赤岭,汇景华府,2011年,普通住宅低层(共22层)					,120平方米,63.00万                    
        2室2厅1卫，,        150万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共28层)					,80平方米,45.00万                    
        3室2厅1卫，,        185万,厚街赤岭,万科金域国际,2013年,普通住宅低层(共31层)					,96平方米,55.50万                    
        3室2厅2卫，,        168万,厚街赤岭,汇景华府,2006年,普通住宅中层(共26层)					,125平方米,50.40万                    
        4室2厅3卫，,        348万,厚街赤岭,汇景华府,2008年,普通住宅高层(共32层)					,227平方米,104.40万                    
        3室2厅1卫，,        186万,厚街赤岭,万科金域国际,2012年,普通住宅中层(共32层)					,96平方米,55.80万                    
        3室2厅2卫，,        83万,厚街赤岭,三屯富怡花园,2014年,普通住宅中层(共30层)					,89平方米,24.90万                    
        4室2厅2卫，,        320万,厚街赤岭,汇景华府,2013年,普通住宅中层(共31层)					,178平方米,96.00万                    
        3室2厅2卫，,        166万,厚街赤岭,富怡名居,2010年,普通住宅低层(共13层)					,127平方米,49.80万                    
        3室2厅2卫，,        75万,厚街赤岭,三屯富怡花园,2012年,普通住宅低层(共30层)					,96平方米,22.50万                    
        3室2厅2卫，,        198万,厚街赤岭,汇景华府,2009年,普通住宅高层(共26层)					,133平方米,59.40万                    
        3室2厅2卫，,        175万,厚街赤岭,富怡名居,2010年,普通住宅低层(共13层)					,127平方米,52.50万                    
