户型,总价格,名字,小区,建造年代,楼层,面积,首付
        3室2厅2卫，,        340万,番禺大石,锦绣银湾,2007年,普通住宅中层(共28层)					,122平方米,102.00万                    
        3室2厅2卫，,        200万,番禺大石,富怡大厦,2005年,普通住宅高层(共6层)					,103平方米,60.00万                    
        1室1厅1卫，,        46万,番禺大石,天骄时代,2015年,公寓中层(共20层)					,37平方米,13.80万                    
        2室2厅1卫，,        145万,番禺大石,今日丽舍,2004年,普通住宅共22层					,60平方米,43.50万                    
        3室2厅1卫，,        365万,番禺大石,新月明珠花园,2008年,普通住宅低层(共21层)					,108平方米,109.50万                    
        3室2厅1卫，,        270万,番禺大石,富庭华园,2002年,普通住宅中层(共7层)					,95平方米,81.00万                    
        3室1厅2卫，,        185万,番禺大石,富丽家园福宁园,1998年,普通住宅中层(共7层)					,88平方米,55.50万                    
        2室2厅1卫，,        140万,番禺大石,富丽广场康悦居,2005年,普通住宅高层(共6层)					,65平方米,42.00万                    
        2室1厅1卫，,        195万,番禺大石,滨江绿园,2004年,普通住宅高层(共11层)					,64平方米,58.50万                    
        5室2厅3卫，,        550万,番禺大石,锦绣银湾,2008年,普通住宅高层(共18层)					,127平方米,165.00万                    
        2室2厅1卫，,        200万,番禺大石,宾至路小区,1998年,普通住宅中层(共8层)					,83平方米,60.00万                    
        3室2厅1卫，,        138万,番禺大石,怡居新村,1995年,普通住宅中层(共7层)					,80平方米,41.40万                    
        2室2厅1卫，,        170万,番禺大石,富庭东园,2005年,普通住宅高层(共7层)					,58平方米,51.00万                    
        2室1厅1卫，,        180万,番禺大石,莲芳园,2019年,普通住宅中层(共8层)					,79平方米,54.00万                    
        2室1厅1卫，,        88万,番禺大石,万佳楼,2000年,普通住宅中层(共9层)					,52平方米,26.40万                    
        2室2厅2卫，,        340万,番禺大石,锦绣银湾,2008年,普通住宅中层(共28层)					,106平方米,102.00万                    
        3室2厅2卫，,        270万,番禺大石,富丽家园福宁园,2000年,普通住宅中层(共8层)					,118平方米,81.00万                    
        2室2厅1卫，,        150万,番禺大石,乳芳园,1999年,普通住宅高层(共7层)					,76平方米,45.00万                    
        4室2厅2卫，,        400万,番禺大石,新月明珠花园,2007年,普通住宅中层(共23层)					,130平方米,120.00万                    
        3室2厅1卫，,        155万,番禺大石,天骄时代,2017年,普通住宅高层(共23层)					,95平方米,46.50万                    
        2室2厅1卫，,        130万,番禺大石,莲芳园,1999年,普通住宅中层(共8层)					,70平方米,39.00万                    
        3室2厅1卫，,        265万,番禺大石,富庭华园,2002年,普通住宅中层(共7层)					,96平方米,79.50万                    
        2室2厅1卫，,        145万,番禺大石,富丽广场康美居,2001年,普通住宅中层(共6层)					,68平方米,43.50万                    
        5室3厅3卫，,        455万,番禺大石,滨江绿园,2004年,普通住宅高层(共11层)					,142平方米,136.50万                    
